Run,Sample,patient,x,y,AS_cluster,type
SRR7666461,PT089_P7_A06_S6,PT089,-6.8213816,11.943491,3,Normal
SRR7666367,PT089_P1_B11,PT089,-15.018783,0.3953711,3,Normal
SRR7666357,PT089_P1_A12,PT089,-22.58317,4.4595027,5,Normal
SRR7666536,PT089_P7_G11_S83,PT089,-11.404735,1.2474045,3,Normal
SRR7666348,PT089_P1_A03,PT089,-15.57112,0.5780353,3,Normal
SRR7666354,PT089_P1_A09,PT089,-15.623942,0.3591405,6,Normal
SRR7666371,PT089_P1_C03,PT089,-20.990358,5.2060294,5,Normal
SRR7666365,PT089_P1_B08,PT089,-22.674002,5.663252,5,Normal
SRR7666355,PT089_P1_A10,PT089,-19.649149,3.5575135,5,Normal
SRR7666364,PT089_P1_B07,PT089,-19.811636,2.9305582,5,Normal
SRR7666382,PT089_P1_D02,PT089,-19.797066,3.4047582,5,Normal
SRR7666347,PT089_P1_A02,PT089,-21.436739,4.386666,5,Normal
SRR7666358,PT089_P1_B01,PT089,-20.99165,4.154273,5,Normal
SRR7666368,PT089_P1_B12,PT089,-20.983543,5.364856,5,Normal
SRR7666351,PT089_P1_A06,PT089,-19.991556,4.8176837,5,Normal
SRR7666378,PT089_P1_C10,PT089,-20.187553,2.775195,5,Normal
SRR7666479,PT089_P7_B12_S24,PT089,-12.436969,2.8130302,3,Normal
SRR7667375,PT039_P121_B10_S310,PT039,9.101451,-2.5658486,1,Normal
SRR7666361,PT089_P1_B04,PT089,-19.8135,4.6411037,5,Normal
SRR7666352,PT089_P1_A07,PT089,-20.324242,3.9382517,5,Normal
SRR7666465,PT089_P7_A10_S10,PT089,-11.41966,0.8636288,3,Normal
SRR7666346,PT089_P1_A01,PT089,-22.076971,4.9791656,5,Normal
SRR7666480,PT089_P7_C01_S25,PT089,-11.697367,12.896733,3,Normal
SRR7666592,PT089_P9_E07_S151,PT089,-9.927343,7.655668,3,Normal
SRR7667238,PT084_P8_F08_S260,PT084,-11.343131,3.8332455,3,Normal
SRR7667231,PT084_P8_F01_S253,PT084,-11.432758,4.1008224,3,Normal
SRR7666581,PT089_P9_D08_S140,PT089,-11.896715,9.886354,3,Normal
SRR7667245,PT084_P8_G03_S267,PT084,-7.356212,8.454506,3,Normal
SRR7666472,PT089_P7_B05_S17,PT089,-11.177269,10.940794,3,Normal
SRR7666468,PT089_P7_B01_S13,PT089,-11.687597,11.718902,3,Normal
SRR7666552,PT089_P9_B03_S111,PT089,-13.001288,11.883485,3,Normal
SRR7666483,PT089_P7_C04_S28,PT089,-10.90408,12.608236,3,Normal
SRR7666503,PT089_P7_E01_S49,PT089,-11.883528,6.3790116,3,Normal
SRR7667427,PT084_P121_G04_S364,PT084,-9.880278,4.4096107,3,Normal
SRR7666477,PT089_P7_B10_S22,PT089,-12.655228,11.577587,3,Normal
SRR7667218,PT084_P8_D12_S240,PT084,-9.273734,7.6411467,3,Normal
SRR7666476,PT089_P7_B09_S21,PT089,-12.17224,12.716033,3,Normal
SRR7666576,PT089_P9_D03_S135,PT089,-11.021269,6.956129,3,Normal
SRR7666484,PT089_P7_C05_S29,PT089,-13.151306,3.4447072,3,Normal
SRR7666535,PT089_P7_G10_S82,PT089,-12.378837,2.0459635,3,Normal
SRR7667228,PT084_P8_E10_S250,PT084,-10.407289,5.470976,3,Normal
SRR7667215,PT084_P8_D08_S236,PT084,-11.7921915,4.265903,3,Normal
SRR7667425,PT084_P121_G02_S362,PT084,-9.10069,10.117079,3,Normal
SRR7666506,PT089_P7_E04_S52,PT089,-11.450529,7.4775105,3,Normal
SRR7667408,PT084_P121_E09_S345,PT084,-7.6989775,12.887588,3,Normal
SRR7666485,PT089_P7_C06_S30,PT089,-9.449094,9.56138,3,Normal
SRR7666565,PT089_P9_C04_S124,PT089,-11.1199665,8.203185,3,Normal
SRR7666605,PT089_P9_F08_S164,PT089,-10.122477,6.5015864,3,Normal
SRR7666490,PT089_P7_C11_S35,PT089,-10.006732,9.909143,3,Normal
